DISTRICT,LOCATION,LONGITUDE,LATITUDE,pH,EC,CO3,HCO3,Cl,SO4,NO3,F,PO4,Ca,Mg,Na,K,SiO2,TH,SAR_VALUE,RSC_VALUE
Patiala,Mardan heri,76.20536,30.0563,7.72,1584,0,818.0,132.0,0.0,42.0,0.45,0,40.0,73.0,222.0,11.0,,400,4.176800656,5.3
Patiala,Miranpur,76.4769,30.2056,7.92,1230,0,354.0,229.0,145.0,0.0,0.60,0,52.0,58.0,170.0,26.0,,370,3.241772803,-1.6
Patiala,Nariana,76.579,30.612,8.02,1305,0,708.0,104.0,0.0,42.0,0.05,0,16.0,78.0,182.0,4.7,,360,3.754373336,4.3
Patiala,Patran,76.0528,29.9539,8.01,927,0,549.0,42.0,0.0,28.0,0.79,0,40.0,58.0,85.0,11.0,,340,1.717259326,2.2
Patiala,Rajgarh,76.73222222,30.41555556,8.05,895,0,537.0,21.0,40.0,18.0,0.45,0,36.0,36.0,130.0,8.2,,240,3.064129385,4.0
Patiala,Rajpura,76.5889,30.4753,8.12,1512,0,903.0,69.0,0.0,4.5,2.40,0,44.0,34.0,272.0,5.1,,250,6.159587066,9.8
Patiala,Ramgarh,76.71472222,30.555,7.85,677,0,427.0,14.0,0.0,26.0,0.30,0,52.0,36.0,48.0,7.6,,280,1.023363439,1.4
Patiala,Samana,76.1889,30.1475,7.67,1252,0,415.0,118.0,130.0,29.0,0.38,0,40.0,61.0,128.0,36.0,,350,2.547295207,-0.3
Patiala,Sangat Pura Panki,76.2258,30.3425,8.18,1065,0,659.0,18.0,0.0,22.0,0.50,0,36.0,24.0,175.0,21.0,,190,4.518480571,7.0
Patiala,Thuha,76.6636,30.501,8.32,837,24,415.0,35.0,50.0,0.0,2.00,0,20.0,12.0,180.0,1.2,,100,6.363961031,5.6
Rupnagar,Ahmedpur,76.57163,31.00631,8.04,1309,0,378.0,184.0,20.0,68.0,0.05,0,76.0,39.0,138.0,3.6,,350,2.573713271,-0.9
Rupnagar,Bara Chauta,76.5264,30.9661,8.34,658,51,214.0,43.0,3.0,8.2,0.51,0,24.0,36.0,52.0,9.0,,210,1.342634227,1.0
Rupnagar,Bhalan,76.375,31.275,8.25,837,0,299.0,121.0,0.0,2.3,0.34,0,240.0,29.0,92.0,33.0,,180,1.1218678,-9.5
Rupnagar,Brahampur,76.39858,31.33232,8.55,413,48,219.7,7.1,5.0,0.7,0.40,0,24.0,14.6,70.0,5.4,,120.096,2.25337973,2.8
Rupnagar,Chak Dehra,76.53333333,31.04166667,7.82,593,0,299.0,21.0,14.0,6.6,0.79,0,56.0,24.0,16.0,18.0,,240,0.357770876,0.1
Rupnagar,Chatamli,76.54936,30.81845,8.73,867,87,293.0,28.0,0.0,11.0,1.00,0,16.0,27.0,116.0,29.0,,150,3.537966832,4.7
Rupnagar,Dhair,76.44583333,31.27083333,7.62,648,0,317.0,43.0,10.0,2.7,0.29,0,44.0,32.0,31.0,24.0,,240,0.711188775,0.3
Rupnagar,Dumewal,76.417,31.208,7.81,499,0,238.0,28.0,9.0,4.0,0.27,0,44.0,20.0,22.0,11.0,,190,0.55,0.0
Rupnagar,Kakrali,76.524,30.834,8.44,894,87,262.0,50.0,14.0,0.2,0.78,0,24.0,51.0,67.0,25.0,,270,1.547298721,1.7
Rupnagar,Rurkee Heeran,76.42873,30.85346,8.29,693,0,383.0,21.0,0.0,0.3,0.52,0,28.0,44.0,40.0,10.0,,250,0.942809042,1.2
Sangrur,Badru khan,75.7971,30.2507,8.4,1500,48,879.0,35.0,0.0,14.0,0.69,0,16.0,32.0,315.0,9.7,,170,9.09326674,12.5
Sangrur,Bagarian,76.0333,30.4342,8.12,485,0,366.0,14.0,0.0,0.5,0.50,0,36.0,22.0,62.0,7.1,,180,1.628199767,2.4
Sangrur,Benra,75.848,30.338,8.48,940,48,488.0,14.0,55.0,12.0,0.65,0,52.0,49.0,105.0,12.0,,330,2.089578099,2.9
Sangrur,Bhojowal,75.92472222,30.33777778,8.5,1600,36,769.0,121.0,35.0,31.0,1.00,0,20.0,24.0,352.0,9.0,,150,10.61319933,10.8
Sangrur,Bhulan,76.01,29.763,8.25,1455,0,574.0,149.0,115.0,27.0,0.75,0,28.0,85.0,130.0,99.0,,420,2.445874258,0.9
Sangrur,Bugra,75.7789,30.3497,8.4,624,24,305.0,14.0,35.0,28.0,0.54,0,24.0,9.7,124.0,4.5,,100,4.272053968,3.8
Sangrur,Bulan,76.0061,29.7625,8.11,600,0,244.1,21.3,104.0,11.0,0.50,0,52.0,34.0,34.0,9.2,,270.216,0.733262858,-1.4
Sangrur,Chural Kalan,75.8,29.819,8.6,1530,48,879.0,28.0,22.0,19.0,4.90,0,12.0,24.0,348.0,8.0,,130,11.6,13.4
Sangrur,Ghanauri Kalan,75.77,30.41,8.14,1185,0,574.0,121.0,29.0,49.0,0.39,0,64.0,51.0,150.0,14.0,,370,2.797514425,2.0
Sangrur,Ladda,75.8206,30.3144,8.14,630,0,439.0,14.0,0.0,18.0,0.52,0,40.0,27.0,82.0,8.9,,210,2.003578887,2.9
Sangrur,Longowal,75.7067,30.22,8.35,1250,48,708.0,42.0,32.0,10.0,0.54,0,24.0,32.0,260.0,9.3,,190,6.94879229,9.3
Sangrur,Malerkotla,75.8983,30.5292,8.62,942,48,415.0,57.0,0.0,84.0,0.59,0,44.0,49.0,112.0,17.0,,310,2.322771796,2.1
Sangrur,Manjhi,76.098,30.29,8.5,505,36,268.0,7.1,12.0,0.4,0.56,0,16.0,19.0,83.0,5.4,,120,2.805912126,3.2
Sangrur,Manvi,76.0219,30.3719,8.32,622,12,342.0,14.0,10.0,25.0,0.40,0,40.0,27.0,61.0,11.0,,210,1.490467221,1.8
Sangrur,Sunam,76.3539,30.6097,8.48,532,24,281.0,14.0,0.0,11.0,0.40,0,48.0,29.0,30.0,7.2,,240,0.683763459,0.6
SAS Nagar,Akalgarh,76.612,30.857,8.03,564,0,316.0,14.0,0.0,4.0,0.57,0,16.0,73.0,97.0,2.6,,70,2.056395887,-1.7
SAS Nagar,Antala,76.9261,30.39729,8.02,609,0,310.0,28.0,2.0,8.5,0.61,0,32.0,19.0,61.0,13.0,,160,1.708341703,1.9
SAS Nagar,Banaur,76.586,30.493,8.72,942,108,238.0,64.0,0.0,5.0,0.65,0,36.0,36.0,105.0,4.0,,240,2.474873734,2.7
SAS Nagar,Chhat,76.794,30.614,8.12,528,0,280.0,14.0,12.0,1.0,0.37,0,28.0,19.0,51.0,4.0,,150,1.487822913,1.6
